cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:1,AB,1,11214,-13786,2968,2968,11214,30.0,450,244,80,1128074
AB:2,AB,2,12802,-12198,4236,4236,12802,30.0,450,240,80,1187835
AB:3,AB,3,13342,-11658,1620,1620,13342,30.4,440,228,38,24998
AB:4,AB,4,10005,-14995,1427,1427,10005,33.1,452,244,48,40421
ABa:5,ABa,5,9482,-15518,1496,1496,9482,31.6,472,234,34,39264
ABa:6,ABa,6,9622,-15378,1764,1764,9622,29.2,485,261,34,27485
ABa:7,ABa,7,10111,-14889,-27,-27,10111,31.3,483,254,44,77052
ABa:8,ABa,8,8117,-16883,-3005,-3005,8117,35.7,496,252,60,279898
ABa:9,ABa,9,7976,-17024,1399,1399,7976,34.6,510,248,61,417573
ABa:10,ABa,10,9468,-15532,2295,2295,9468,32.8,532,232,62,587654
ABa:11,ABa,11,10170,-14830,2027,2027,10170,30.4,542,230,64,698716
ABa:12,ABa,12,11793,-13207,2925,2925,11793,28.5,528,251,67,887352
ABa:13,ABa,13,12890,-12110,3826,3826,12890,30.5,537,261,70,1154182
ABa:14,ABa,14,13267,-11733,3264,3264,13267,31.0,528,268,66,183377
ABa:15,ABa,15,10543,-14457,1841,1841,10543,31.2,520,276,53,159242
ABal:16,ABal,16,9671,-15329,870,870,9671,25.3,535,253,37,61321
ABal:17,ABal,17,9048,-15952,866,866,9048,30.3,551,234,43,95013
ABal:18,ABal,18,8409,-16591,-1056,-1056,8409,32.3,546,224,54,191426
ABal:19,ABal,19,7978,-17022,1205,1205,7978,32.0,558,214,54,368747
ABal:20,ABal,20,9716,-15284,377,377,9716,26.9,574,187,57,573589
ABal:21,ABal,21,10588,-14412,-3844,-3844,10588,23.4,588,189,58,757919
ABal:22,ABal,22,10453,-14547,-2885,-2885,10453,22.8,588,200,57,738231
ABal:23,ABal,23,9667,-15333,-334,-334,9667,25.2,582,194,58,785735
ABal:24,ABal,24,10553,-14447,-273,-273,10553,25.6,585,196,59,802427
ABal:25,ABal,25,12213,-12787,-284,-284,12213,25.6,584,190,61,895854
ABal:26,ABal,26,10600,-14400,1418,1418,10600,29.0,582,204,58,232710
ABal:27,ABal,27,10122,-14878,1958,1958,10122,30.4,572,223,51,271273
ABala:28,ABala,28,8209,-16791,-409,-409,8209,24.5,582,240,42,116607
ABala:29,ABala,29,7823,-17177,-1632,-1632,7823,30.0,601,248,46,140868
ABala:30,ABala,30,7800,-17200,-3543,-3543,7800,32.0,590,262,47,202516
ABala:31,ABala,31,6671,-18329,-2270,-2270,6671,33.7,611,250,48,328680
ABala:32,ABala,32,6768,-18232,-3193,-3193,6768,34.1,617,236,52,512254
ABala:33,ABala,33,4660,-20340,-2050,-2050,4660,41.7,611,246,54,403034
ABala:34,ABala,34,5280,-19720,-2510,-2510,5280,39.3,613,256,55,396807
ABala:35,ABala,35,5951,-19049,-1895,-1895,5951,38.1,619,265,57,486199
ABala:36,ABala,36,5800,-19200,-2770,-2770,5800,38.4,614,272,57,505191
ABala:37,ABala,37,5641,-19359,-2590,-2590,5641,38.8,611,273,55,447586
ABala:38,ABala,38,6953,-18047,-1625,-1625,6953,39.1,609,274,56,454139
ABala:39,ABala,39,4426,-20574,-381,-381,4426,41.3,602,282,43,129234
ABala:40,ABala,40,5662,-19338,-1483,-1483,5662,37.4,586,286,42,129234
ABalaa:41,ABalaa,41,3234,-21766,-2344,-2344,3234,42.0,617,268,35,67964
ABalaa:42,ABalaa,42,4828,-20172,-5403,-5419,4828,42.0,622,260,43,105068
ABalaa:43,ABalaa,43,4849,-20151,-5646,-5645,4849,42.9,622,257,43,167705
ABalaa:44,ABalaa,44,5354,-19646,-3808,-3808,5354,43.2,625,247,44,214756
ABalaa:45,ABalaa,45,4661,-20339,-2744,-2744,4661,44.3,624,244,47,258553
ABalaa:46,ABalaa,46,4906,-20094,-3256,-3256,4906,43.8,621,244,47,294547
ABalaa:47,ABalaa,47,4366,-20634,-3572,-3572,4366,45.0,616,240,46,291234
ABalaa:48,ABalaa,48,4493,-20507,-4393,-4393,4493,45.0,614,234,47,322045
ABalaa:49,ABalaa,49,4958,-20042,-3755,-3755,4958,43.0,622,248,48,387695
ABalaa:50,ABalaa,50,5805,-19195,-6334,-6334,5805,40.1,623,244,50,475544
ABalaa:51,ABalaa,51,5968,-19032,-6787,-6787,5968,40.0,616,248,48,470194
ABalaa:52,ABalaa,52,5701,-19299,-6902,-6902,5701,41.3,619,239,50,513354
ABalaa:53,ABalaa,53,4557,-20443,-4916,-4916,4557,43.0,622,242,49,493206
ABalaa:54,ABalaa,54,5817,-19183,-4092,-4092,5817,42.0,624,246,50,624432
ABalaa:55,ABalaa,55,5408,-19592,-7319,-7313,5408,41.8,616,248,53,717884
ABalaa:56,ABalaa,56,5609,-19391,-6848,-6848,5609,42.9,612,252,53,741802
ABalaa:57,ABalaa,57,5710,-19290,-7474,-7474,5710,42.0,613,252,55,546403
ABalaa:58,ABalaa,58,5530,-19470,-6096,-6096,5530,40.2,619,261,45,444300
ABalaaa:59,ABalaaa,59,4789,-20211,-3103,-3103,4789,42.1,629,248,30,164424
ABalaaa:60,ABalaaa,60,6003,-18997,-8078,-8078,6003,40.1,620,233,39,265604
ABalaap:59,ABalaap,59,3478,-21522,-2710,-2710,3478,45.1,590,214,30,120265
ABalaap:60,ABalaap,60,6045,-18955,-5817,-5817,6045,47.1,571,212,39,190163
ABalap:41,ABalap,41,4933,-20067,-1317,-1317,4933,33.5,588,308,41,62474
ABalap:42,ABalap,42,5603,-19397,-4368,-4365,5603,34.0,586,300,43,107572
ABalap:43,ABalap,43,6388,-18612,-5722,-5721,6388,33.0,584,289,43,123365
ABalap:44,ABalap,44,6886,-18114,-4586,-4586,6886,31.8,588,295,44,197547
ABalap:45,ABalap,45,6718,-18282,-6351,-6351,6718,30.1,588,310,47,260074
ABalap:46,ABalap,46,6546,-18454,-5574,-5574,6546,31.3,578,324,47,282498
ABalap:47,ABalap,47,7893,-17107,-6556,-6556,7893,30.2,577,320,50,373503
ABalap:48,ABalap,48,7490,-17510,-4936,-4936,7490,30.7,590,318,49,375076
ABalap:49,ABalap,49,6924,-18076,-6139,-6139,6924,31.0,586,322,52,484225
ABalap:50,ABalap,50,7391,-17609,-7265,-7265,7391,30.2,581,312,50,467216
ABalap:51,ABalap,51,7067,-17933,-6602,-6602,7067,31.1,570,310,52,540806
ABalap:52,ABalap,52,6940,-18060,-7852,-7852,6940,31.1,585,306,52,572579
ABalap:53,ABalap,53,7293,-17707,-6645,-6645,7293,30.7,588,313,53,576404
ABalap:54,ABalap,54,7307,-17693,-6638,-6638,7307,30.9,589,312,52,630906
ABalap:55,ABalap,55,7993,-17007,-8902,-8905,7993,31.1,578,304,57,829909
ABalap:56,ABalap,56,8175,-16825,-5416,-5416,8175,30.0,574,306,51,669125
ABalap:57,ABalap,57,8208,-16792,-4701,-4701,8208,29.0,574,302,51,481290
ABalap:58,ABalap,58,6913,-18087,-2754,-2754,6913,28.0,586,296,35,296861
ABalapa:59,ABalapa,59,5952,-19048,-1662,-1662,5952,31.2,598,308,30,178861
ABalapa:60,ABalapa,60,6410,-18590,-8369,-8369,6410,31.0,600,306,41,309439
ABalapp:59,ABalapp,59,6689,-18311,50,50,6689,33.2,555,274,24,86694
ABalapp:60,ABalapp,60,8233,-16767,-3251,-3251,8233,36.3,544,273,37,163968
ABalp:28,ABalp,28,6587,-18413,-661,-661,6587,36.8,564,207,36,75031
ABalp:29,ABalp,29,7741,-17259,-1053,-1053,7741,36.0,562,188,48,124710
ABalp:30,ABalp,30,7903,-17097,-2594,-2594,7903,37.3,552,188,47,162344
ABalp:31,ABalp,31,6259,-18741,-2860,-2860,6259,38.5,534,172,50,284125
ABalp:32,ABalp,32,5440,-19560,-2198,-2198,5440,37.5,523,151,52,379754
ABalp:33,ABalp,33,4388,-20612,-3286,-3286,4388,40.2,529,141,54,380564
ABalp:34,ABalp,34,5340,-19660,-4771,-4771,5340,36.0,538,141,55,436768
ABalp:35,ABalp,35,5548,-19452,-4602,-4602,5548,34.4,534,137,59,539306
ABalp:36,ABalp,36,6658,-18342,-2434,-2434,6658,35.1,538,147,57,506901
ABalp:37,ABalp,37,6504,-18496,-3285,-3285,6504,34.3,542,139,57,552819
ABalp:38,ABalp,38,7494,-17506,-1797,-1797,7494,37.0,540,146,54,450654
ABalp:39,ABalp,39,6111,-18889,-385,-385,6111,41.7,534,157,51,177678
ABalpa:40,ABalpa,40,4320,-20680,1004,1004,4320,46.2,536,171,25,26612
ABalpa:41,ABalpa,41,3163,-21837,-435,-435,3163,44.1,553,164,33,49871
ABalpa:42,ABalpa,42,4222,-20778,-3541,-3541,4222,42.0,554,164,43,105920
ABalpa:43,ABalpa,43,4583,-20417,-4001,-4001,4583,43.2,558,159,45,172038
ABalpa:44,ABalpa,44,4516,-20484,-2033,-2033,4516,44.0,564,156,42,178735
ABalpa:45,ABalpa,45,4321,-20679,-3349,-3349,4321,41.1,570,153,45,251871
ABalpa:46,ABalpa,46,3838,-21162,-4398,-4398,3838,41.3,568,156,49,318975
ABalpa:47,ABalpa,47,4914,-20086,-4242,-4242,4914,40.7,572,156,48,378439
ABalpa:48,ABalpa,48,4925,-20075,-4979,-4979,4925,38.0,574,158,47,364187
ABalpa:49,ABalpa,49,5515,-19485,-6054,-6054,5515,35.3,578,158,50,489163
ABalpa:50,ABalpa,50,5817,-19183,-5015,-5015,5817,36.3,573,157,52,560589
ABalpa:51,ABalpa,51,5568,-19432,-4575,-4575,5568,36.3,570,156,52,551187
ABalpa:52,ABalpa,52,4941,-20059,-3765,-3765,4941,38.0,566,160,48,456684
ABalpa:53,ABalpa,53,5091,-19909,-5924,-5924,5091,39.0,570,161,51,492525
ABalpa:54,ABalpa,54,4587,-20413,-6750,-6750,4587,40.5,557,166,54,606481
ABalpa:55,ABalpa,55,5869,-19131,-7670,-7670,5869,39.7,557,174,55,648983
ABalpa:56,ABalpa,56,6397,-18603,-7862,-7862,6397,39.5,560,176,55,673225
ABalpa:57,ABalpa,57,7246,-17754,-3593,-3593,7246,39.1,550,181,41,175113
ABalpa:58,ABalpa,58,5379,-19621,-3046,-3046,5379,40.2,556,174,45,310416
ABalpaa:59,ABalpaa,59,5847,-19153,-3077,-3077,5847,34.3,570,167,32,137997
ABalpaa:60,ABalpaa,60,6672,-18328,-5947,-5947,6672,33.0,576,168,41,272361
ABalpap:59,ABalpap,59,5603,-19397,-2197,-2197,5603,40.2,525,141,32,124611
ABalpap:60,ABalpap,60,6737,-18263,-4981,-4981,6737,41.0,524,138,41,269788
ABalpp:40,ABalpp,40,6147,-18853,-464,-464,6147,37.2,508,150,27,33678
ABalpp:41,ABalpp,41,4893,-20107,-1916,-1916,4893,33.4,501,140,39,53318
ABalpp:42,ABalpp,42,7353,-17647,-5219,-5219,7353,33.0,498,134,43,102518
ABalpp:43,ABalpp,43,6675,-18325,-5396,-5396,6675,31.9,494,136,43,137041
ABalpp:44,ABalpp,44,5395,-19605,-3139,-3139,5395,29.0,490,122,42,163492
ABalpp:45,ABalpp,45,6108,-18892,-3246,-3246,6108,27.3,482,130,47,209182
ABalpp:46,ABalpp,46,7043,-17957,-4021,-4021,7043,27.1,482,140,49,217906
ABalpp:47,ABalpp,47,9201,-15799,-2525,-2525,9201,25.0,480,134,46,254843
ABalpp:48,ABalpp,48,7987,-17013,-3672,-3672,7987,26.0,478,132,47,263720
ABalpp:49,ABalpp,49,7099,-17901,-5153,-5153,7099,27.0,474,134,48,265211
ABalpp:50,ABalpp,50,6083,-18917,-5668,-5668,6083,28.3,473,127,50,331954
ABalpp:51,ABalpp,51,5250,-19750,-5911,-5911,5250,29.2,470,134,50,333212
ABalpp:52,ABalpp,52,5530,-19470,-6132,-6132,5530,30.3,468,122,50,377643
ABalpp:53,ABalpp,53,5484,-19516,-4500,-4500,5484,30.2,468,115,51,437584
ABalpp:54,ABalpp,54,5591,-19409,-5927,-5927,5591,33.0,470,122,50,448395
ABalpp:55,ABalpp,55,5596,-19404,-6003,-6003,5596,31.9,467,124,53,506369
ABalpp:56,ABalpp,56,6127,-18873,-6347,-6347,6127,32.3,474,130,53,518868
ABalpp:57,ABalpp,57,6445,-18555,-6518,-6518,6445,35.0,470,136,51,243677
ABalpp:58,ABalpp,58,6147,-18853,-3291,-3291,6147,31.2,462,140,43,231031
ABalppa:59,ABalppa,59,6616,-18384,-3199,-3199,6616,27.2,482,138,26,82743
ABalppa:60,ABalppa,60,8609,-16391,-4638,-4638,8609,26.2,488,132,37,186734
ABalppp:59,ABalppp,59,4577,-20423,-1080,-1080,4577,34.3,433,124,32,104648
ABalppp:60,ABalppp,60,6004,-18996,-6394,-6394,6004,35.0,430,114,41,201604
ABar:16,ABar,16,8723,-16277,1304,1304,8723,36.9,521,281,37,64661
ABar:17,ABar,17,8554,-16446,-661,-661,8554,33.0,518,306,45,74278
ABar:18,ABar,18,7637,-17363,-353,-353,7637,35.1,510,316,52,185072
ABar:19,ABar,19,7532,-17468,-43,-43,7532,35.0,516,334,54,323292
ABar:20,ABar,20,7996,-17004,-1666,-1666,7996,36.1,528,351,59,562141
ABar:21,ABar,21,8725,-16275,-1781,-1781,8725,36.1,513,358,60,705658
ABar:22,ABar,22,8619,-16381,-2979,-2979,8619,31.7,499,370,57,681767
ABar:23,ABar,23,9642,-15358,-1775,-1775,9642,28.3,495,369,58,827032
ABar:24,ABar,24,10146,-14854,-2682,-2682,10146,24.4,474,374,59,817108
ABar:25,ABar,25,11525,-13475,-1004,-1004,11525,23.2,462,370,61,868657
ABar:26,ABar,26,10329,-14671,459,459,10329,24.1,446,370,44,149714
ABar:27,ABar,27,8886,-16114,1308,1308,8886,28.9,431,335,43,137182
ABara:28,ABara,28,7587,-17413,1859,1859,7587,35.6,452,336,34,63901
ABara:29,ABara,29,5509,-19491,-993,-993,5509,40.6,456,336,40,67822
ABara:30,ABara,30,5941,-19059,-2209,-2209,5941,42.0,468,338,45,108369
ABara:31,ABara,31,6375,-18625,-3243,-3243,6375,42.8,476,344,48,212925
ABara:32,ABara,32,4723,-20277,-2873,-2873,4723,44.5,484,336,52,285123
ABara:33,ABara,33,2925,-22075,-2081,-2081,2925,51.0,490,322,52,175086
ABara:34,ABara,34,2862,-22138,-3352,-3352,2862,52.2,492,312,59,222727
ABara:35,ABara,35,3302,-21698,-2540,-2540,3302,52.0,502,306,55,197812
ABara:36,ABara,36,3390,-21610,-2616,-2616,3390,52.0,494,316,55,214030
ABara:37,ABara,37,3283,-21717,-3070,-3070,3283,51.8,487,316,55,237064
ABara:38,ABara,38,3608,-21392,-2806,-2806,3608,52.0,480,322,54,242847
ABara:39,ABara,39,8612,-16388,1554,1554,8612,48.3,475,328,23,28250
ABaraa:40,ABaraa,40,4110,-20890,213,213,4110,51.3,489,325,23,16858
ABaraa:41,ABaraa,41,3889,-21111,1016,1016,3889,52.2,508,315,25,21750
ABaraa:42,ABaraa,42,2405,-22595,-2586,-2586,2405,52.3,514,316,39,42604
ABaraa:43,ABaraa,43,2938,-22062,-2440,-2440,2938,53.0,516,326,41,69551
ABaraa:44,ABaraa,44,1715,-23285,-2529,-2529,1715,54.0,516,322,42,99102
ABaraa:45,ABaraa,45,2034,-22966,-1842,-1842,2034,54.0,530,312,43,118045
ABaraa:46,ABaraa,46,2536,-22464,-3558,-3558,2536,54.0,534,308,45,128559
ABaraa:47,ABaraa,47,3812,-21188,-4229,-4229,3812,51.0,530,312,46,187372
ABaraa:48,ABaraa,48,3881,-21119,-3796,-3796,3881,52.0,536,304,47,187086
ABaraa:49,ABaraa,49,4239,-20761,-5290,-5290,4239,51.0,540,306,48,228776
ABaraa:50,ABaraa,50,4296,-20704,-4090,-4090,4296,51.0,546,318,50,272764
ABaraa:51,ABaraa,51,3967,-21033,-4078,-4078,3967,51.9,546,313,50,287445
ABaraa:52,ABaraa,52,3139,-21861,-5217,-5217,3139,52.0,546,315,52,331317
ABaraa:53,ABaraa,53,4332,-20668,-4915,-4915,4332,51.2,544,312,51,317994
ABaraa:54,ABaraa,54,3895,-21105,-6124,-6124,3895,50.9,543,310,52,418074
ABaraa:55,ABaraa,55,5157,-19843,-7635,-7638,5157,49.2,542,312,55,525780
ABaraa:56,ABaraa,56,5945,-19055,-5615,-5615,5945,49.3,544,314,53,486714
ABaraa:57,ABaraa,57,4967,-20033,-343,-343,4967,49.1,540,315,33,106566
ABaraaa:58,ABaraaa,58,7845,-17155,-988,-1204,7845,46.1,558,310,25,55843
ABaraaa:59,ABaraaa,59,5105,-19895,-2080,-2080,5105,50.3,566,308,30,101489
ABaraaa:60,ABaraaa,60,4461,-20539,-4681,-4681,4461,49.9,578,300,39,192079
ABaraap:58,ABaraap,58,3050,-21950,-850,-805,3050,49.2,531,299,25,50665
ABaraap:59,ABaraap,59,2931,-22069,-830,-830,2931,51.3,513,269,30,86200
ABaraap:60,ABaraap,60,4828,-20172,-4592,-4592,4828,52.0,510,274,41,185785
ABarap:40,ABarap,40,4954,-20046,-1195,-1195,4954,50.1,450,333,17,8879
