cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,15025,-9975,4759,4759,15025,31.7,175,261,78,1875496
ABa:2,ABa,2,17170,-7830,5768,5768,17170,32.0,182,276,74,1808241
ABa:3,ABa,3,16255,-8745,5146,5146,16255,32.0,192,280,73,187825
ABa:4,ABa,4,13193,-11807,1833,1833,13193,33.2,192,290,51,233320
ABal:5,ABal,5,11063,-13937,1587,1587,11063,35.6,189,268,36,96132
ABal:6,ABal,6,10928,-14072,-861,-861,10928,33.4,174,244,44,121948
ABal:7,ABal,7,12182,-12818,-6565,-6565,12182,31.0,180,228,57,290083
ABal:8,ABal,8,11307,-13693,33,33,11307,33.0,168,208,56,521927
ABal:9,ABal,9,11184,-13816,243,243,11184,34.9,147,210,60,841849
ABal:10,ABal,10,11389,-13611,-2140,-2140,11389,36.0,137,223,62,1037348
ABal:11,ABal,11,12268,-12732,-3747,-3747,12268,33.1,126,225,61,1104544
ABal:12,ABal,12,12819,-12181,1076,1076,12819,32.1,138,226,62,1130193
ABal:13,ABal,13,14196,-10804,2648,2648,14196,32.0,141,232,63,1212170
ABal:14,ABal,14,14654,-10346,668,668,14654,29.8,142,222,64,1044329
ABal:15,ABal,15,12137,-12863,220,220,12137,32.0,150,228,59,462835
ABal:16,ABal,16,11666,-13334,-224,-224,11666,32.2,150,249,54,244509
ABald:17,ABald,17,10639,-14361,384,384,10639,33.0,137,277,43,179657
ABald:18,ABald,18,10959,-14041,-5744,-5744,10959,28.0,134,278,48,267820
ABald:19,ABald,19,9793,-15207,-5965,-5965,9793,27.2,116,268,49,449347
ABald:20,ABald,20,10610,-14390,-7900,-7900,10610,24.8,111,272,50,636107
ABald:21,ABald,21,11966,-13034,-6756,-6756,11966,23.9,112,275,51,726862
ABald:22,ABald,22,12896,-12104,-4256,-4256,12896,24.2,118,286,50,732006
ABald:23,ABald,23,11675,-13325,-4942,-4942,11675,25.4,120,290,48,654310
ABald:24,ABald,24,11168,-13832,-5822,-5822,11168,26.0,117,299,49,644328
ABald:25,ABald,25,11245,-13755,-2374,-2374,11245,27.3,134,306,49,638251
ABald:26,ABald,26,10972,-14028,-4476,-4476,10972,26.6,133,311,50,738804
ABald:27,ABald,27,12325,-12675,-4346,-4346,12325,26.3,135,310,51,701200
ABald:28,ABald,28,10386,-14614,-334,-334,10386,27.0,144,306,47,463842
ABalda:29,ABalda,29,10318,-14682,-1426,-1490,10318,24.4,132,305,37,226741
ABalda:30,ABalda,30,9938,-15062,-1558,-1558,9938,25.0,132,296,36,164974
ABalda:31,ABalda,31,10618,-14382,-3888,-3888,10618,24.2,130,286,40,266405
ABalda:32,ABalda,32,9832,-15168,-9864,-9864,9832,23.1,121,289,42,356844
ABalda:33,ABalda,33,7983,-17017,-6187,-6187,7983,26.8,120,275,43,324844
ABalda:34,ABalda,34,10064,-14936,-4937,-4937,10064,25.3,127,264,48,450605
ABalda:35,ABalda,35,9885,-15115,-5124,-5124,9885,24.9,133,260,48,494415
ABalda:36,ABalda,36,9458,-15542,-8267,-8267,9458,24.3,134,258,51,523471
ABalda:37,ABalda,37,9312,-15688,-8039,-8039,9312,25.9,130,270,50,627171
ABalda:38,ABalda,38,9255,-15745,-8593,-8593,9255,27.0,130,266,50,670176
ABalda:39,ABalda,39,8931,-16069,-7843,-7843,8931,28.0,128,268,50,708084
ABalda:40,ABalda,40,9734,-15266,-8812,-8812,9734,27.0,131,271,53,868423
ABalda:41,ABalda,41,8856,-16144,-10589,-10589,8856,28.2,128,266,52,891297
ABalda:42,ABalda,42,10373,-14627,-6966,-6966,10373,27.2,125,270,52,983096
ABalda:43,ABalda,43,9778,-15222,-9737,-9737,9778,28.1,127,260,53,1037416
ABalda:44,ABalda,44,9843,-15157,-12071,-12071,9843,28.8,130,258,53,1067325
ABalda:45,ABalda,45,11184,-13816,-13246,-13246,11184,29.2,132,263,53,1141849
ABalda:46,ABalda,46,10509,-14491,-11157,-11157,10509,30.8,140,261,51,746921
ABalda:47,ABalda,47,9144,-15856,-6481,-6481,9144,27.0,140,250,48,607097
ABaldaa:48,ABaldaa,48,9987,-15013,-7475,-7475,9987,26.1,124,259,34,345190
ABaldaa:49,ABaldaa,49,10693,-14307,-11643,-11643,10693,28.0,116,248,40,619640
ABaldaa:50,ABaldaa,50,10979,-14021,-10684,-10684,10979,27.1,113,249,41,672373
ABaldaa:51,ABaldaa,51,10589,-14411,-6974,-6974,10589,28.0,114,254,41,706529
ABaldaa:52,ABaldaa,52,9957,-15043,-9057,-9057,9957,30.0,114,266,42,892149
ABaldaa:53,ABaldaa,53,11631,-13369,-7891,-7891,11631,29.0,120,274,42,942586
ABaldaa:54,ABaldaa,54,11777,-13223,-9920,-9920,11777,29.0,124,280,42,995235
ABaldaa:55,ABaldaa,55,10723,-14277,-11475,-11475,10723,29.9,124,284,45,1155306
ABaldaa:56,ABaldaa,56,11578,-13422,-10855,-10855,11578,29.0,128,286,43,1154882
ABaldaa:57,ABaldaa,57,12343,-12657,-10127,-10127,12343,28.0,128,280,44,1272371
ABaldaa:58,ABaldaa,58,11213,-13787,-13141,-13141,11213,28.0,128,278,44,1316973
ABaldaa:59,ABaldaa,59,11087,-13913,-9046,-9046,11087,28.0,128,286,45,1406810
ABaldaa:60,ABaldaa,60,11193,-13807,-13841,-13841,11193,29.0,128,282,46,1712905
ABaldap:48,ABaldap,48,9095,-15905,-3895,-3895,9095,25.1,166,212,34,273177
ABaldap:49,ABaldap,49,10277,-14723,-10922,-10922,10277,27.0,160,202,40,434235
ABaldap:50,ABaldap,50,9976,-15024,-8829,-8829,9976,24.0,163,196,41,490966
ABaldap:51,ABaldap,51,9475,-15525,-15651,-15651,9475,24.1,167,185,43,641145
ABaldap:52,ABaldap,52,10504,-14496,-14180,-14180,10504,23.9,164,192,44,724455
ABaldap:53,ABaldap,53,10022,-14978,-17568,-17568,10022,25.3,166,197,44,758253
ABaldap:54,ABaldap,54,9399,-15601,-19882,-19882,9399,25.1,159,204,46,1008645
ABaldap:55,ABaldap,55,11128,-13872,-14568,-14568,11128,25.2,153,206,45,1015593
ABaldap:56,ABaldap,56,10623,-14377,-15401,-15401,10623,24.6,155,214,47,1189181
ABaldap:57,ABaldap,57,11751,-13249,-16330,-16330,11751,26.4,148,208,46,1310431
ABaldap:58,ABaldap,58,11140,-13860,-16576,-16751,11140,25.9,165,208,46,1257019
ABaldap:59,ABaldap,59,10330,-14670,-18942,-18814,10330,26.0,160,209,47,1301035
ABaldap:60,ABaldap,60,10719,-14281,-13529,-13529,10719,25.0,162,214,46,1463762
ABaldp:29,ABaldp,29,9192,-15808,-1324,-1280,9192,31.3,164,320,35,174220
ABaldp:30,ABaldp,30,10512,-14488,-2805,-2805,10512,35.0,164,328,36,156870
ABaldp:31,ABaldp,31,13974,-11026,-5922,-5922,13974,35.3,164,320,40,247413
ABaldp:32,ABaldp,32,12583,-12417,-5149,-5149,12583,36.3,165,328,42,335303
ABaldp:33,ABaldp,33,6091,-18909,-4539,-4539,6091,43.5,160,337,45,281661
ABaldp:34,ABaldp,34,5783,-19217,-5461,-5461,5783,43.0,159,338,48,411959
ABaldp:35,ABaldp,35,6344,-18656,-6120,-6120,6344,42.1,165,346,48,462741
ABaldp:36,ABaldp,36,7663,-17337,-6831,-6831,7663,40.4,163,344,51,549843
ABaldp:37,ABaldp,37,7365,-17635,-7072,-7072,7365,40.0,182,354,48,538052
