0,1,2,3,4,5,6,7,8,9
b'ABa',b'ABal',b'ABala',b'ABalaa',b'ABalaaa',b'ABalaaaa',b'ABalaaaal',b'ABalaaaala',b'ABalaaaalal',b'0.0'
b'ABp',b'ABar',b'ABalp',b'ABalap',b'ABalaap',b'ABalaaap',b'ABalaaaar',b'ABalaaaalp',b'ABalaaaalar',b'0.0'
b'0.0',b'ABpl',b'ABara',b'ABalpa',b'ABalapa',b'ABalaapa',b'ABalaaapa',b'ABalaaaarl',b'ABalaaaalpa',b'0.0'
b'0.0',b'ABpr',b'ABarp',b'ABalpp',b'ABalapp',b'ABalaapp',b'ABalaaapp',b'ABalaaaarr',b'ABalaaaalpp',b'0.0'
b'0.0',b'0.0',b'ABpla',b'ABaraa',b'ABalpaa',b'ABalapaa',b'ABalaapaa',b'ABalaaapal',b'ABalaaaarla',b'0.0'
b'0.0',b'0.0',b'ABplp',b'ABarap',b'ABalpap',b'ABalapap',b'ABalaapap',b'ABalaaapar',b'ABalaaaarlp',b'0.0'
b'0.0',b'0.0',b'ABpra',b'ABarpa',b'ABalppa',b'ABalappa',b'ABalaappa',b'ABalaaappl',b'ABalaaaarra',b'0.0'
b'0.0',b'0.0',b'ABprp',b'ABarpp',b'ABalppp',b'ABalappp',b'ABalaappp',b'ABalaaappr',b'ABalaaaarrp',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABplaa',b'ABaraaa',b'ABalpaaa',b'ABalapaaa',b'ABalaapaaa',b'ABalaaapall',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABplap',b'ABaraap',b'ABalpaap',b'ABalapaap',b'ABalaapaap',b'ABalaaapalr',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABplpa',b'ABarapa',b'ABalpapa',b'ABalapapa',b'ABalaapapa',b'ABalaaaparl',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABplpp',b'ABarapp',b'ABalpapp',b'ABalapapp',b'ABalaapapp',b'ABalaaaparr',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABpraa',b'ABarpaa',b'ABalppaa',b'ABalappaa',b'ABalaappaa',b'ABalaaappll',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABprap',b'ABarpap',b'ABalppap',b'ABalappap',b'ABalaappap',b'ABalaaapplr',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABprpa',b'ABarppa',b'ABalpppa',b'ABalapppa',b'ABalaapppa',b'ABalaaapprl',b'0.0'
b'0.0',b'0.0',b'0.0',b'ABprpp',b'ABarppp',b'ABalpppp',b'ABalapppp',b'ABalaapppp',b'ABalaaapprr',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaa',b'ABaraaaa',b'ABalpaaaa',b'ABalapaaaa',b'ABalaapaaal',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaap',b'ABaraaap',b'ABalpaaap',b'ABalapaaap',b'ABalaapaaar',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapa',b'ABaraapa',b'ABalpaapa',b'ABalapaapa',b'ABalaapaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapp',b'ABaraapp',b'ABalpaapp',b'ABalapaapp',b'ABalaapaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaa',b'ABarapaa',b'ABalpapaa',b'ABalapapaa',b'ABalaapapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpap',b'ABarapap',b'ABalpapap',b'ABalapapap',b'ABalaapapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppa',b'ABarappa',b'ABalpappa',b'ABalapappa',b'ABalaapappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppp',b'ABarappp',b'ABalpappp',b'ABalapappp',b'ABalaapappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaa',b'ABarpaaa',b'ABalppaaa',b'ABalappaaa',b'ABalaappaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraap',b'ABarpaap',b'ABalppaap',b'ABalappaap',b'ABalaappaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapa',b'ABarpapa',b'ABalppapa',b'ABalappapa',b'ABalaappapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapp',b'ABarpapp',b'ABalppapp',b'ABalappapp',b'ABalaappapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaa',b'ABarppaa',b'ABalpppaa',b'ABalapppaa',b'ABalaapppaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpap',b'ABarppap',b'ABalpppap',b'ABalapppap',b'ABalaapppap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppa',b'ABarpppa',b'ABalppppa',b'ABalappppa',b'ABalaappppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppp',b'ABarpppp',b'ABalppppp',b'ABalappppp',b'ABalaappppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaa',b'ABaraaaaa',b'ABalpaaaaa',b'ABalapaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaap',b'ABaraaaap',b'ABalpaaaap',b'ABalapaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapa',b'ABaraaapa',b'ABalpaaapa',b'ABalapaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapp',b'ABaraaapp',b'ABalpaaapp',b'ABalapaaapp',b'0.0'
