0,1,2,3,4,5
b'D',b'Da',b'Daa',b'Daaa',b'Daaaa',b'0.0'
b'0.0',b'Dp',b'Dap',b'Daap',b'Daaap',b'0.0'
b'0.0',b'0.0',b'Dpa',b'Dapa',b'Daapa',b'0.0'
b'0.0',b'0.0',b'Dpp',b'Dapp',b'Daapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'Dpaa',b'Dapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'Dpap',b'Dapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'Dppa',b'Dappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'Dppp',b'Dappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dppaa',b'Dappaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dppap',b'Dappap'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpppa',b'Dapppa'
b'0.0',b'0.0',b'0.0',b'0.0',b'Dpppp',b'Dapppp'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Dpppaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Dpppap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Dppppa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Dppppp'
