0,1,2,3,4,5
b'E',b'Ea',b'Eal',b'Eala',b'Ealaa',b'Ealaad'
b'0.0',b'Ep',b'Ear',b'Ealp',b'Ealap',b'Ealaav'
b'0.0',b'0.0',b'Epl',b'Eara',b'Ealpa',b'0.0'
b'0.0',b'0.0',b'Epr',b'Earp',b'Ealpp',b'0.0'
b'0.0',b'0.0',b'0.0',b'Epla',b'Earaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'Eplp',b'Earap',b'0.0'
b'0.0',b'0.0',b'0.0',b'Epra',b'Earpa',b'0.0'
b'0.0',b'0.0',b'0.0',b'Eprp',b'Earpp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eplaa',b'Earaad'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eplap',b'Earaav'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eplpa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eplpp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Epraa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eprap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eprpa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'Eprpp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eplpaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eplpap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eplppa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eplppp'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eprpaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eprpap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eprppa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'Eprppp'
