0,1,2,3,4,5,6,7,8
b'MS',b'MSa',b'MSaa',b'MSaaa',b'MSaaaa',b'MSaaaaa',b'MSaaaaaa',b'MSaaaaaal',b'0.0'
b'0.0',b'MSp',b'MSap',b'MSaap',b'MSaaap',b'MSaaaap',b'MSaaaaap',b'MSaaaaaar',b'0.0'
b'0.0',b'0.0',b'MSpa',b'MSapa',b'MSaapa',b'MSaaapa',b'MSaaaapa',b'MSaaaaapa',b'0.0'
b'0.0',b'0.0',b'MSpp',b'MSapp',b'MSaapp',b'MSaaapp',b'MSaaaapp',b'MSaaaaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'MSpaa',b'MSapaa',b'MSaapaa',b'MSaaapaa',b'MSaaaapaa',b'MSaaaaapaa'
b'0.0',b'0.0',b'0.0',b'MSpap',b'MSapap',b'MSaapap',b'MSaaapap',b'MSaaaapap',b'MSaaaaapap'
b'0.0',b'0.0',b'0.0',b'MSppa',b'MSappa',b'MSaappa',b'MSaaappa',b'MSaaaappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'MSppp',b'MSappp',b'MSaappp',b'MSaaappp',b'MSaaaappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaa',b'MSapaaa',b'MSaapaaa',b'MSaaapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaap',b'MSapaap',b'MSaapaap',b'MSaaapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapa',b'MSapapa',b'MSaapapa',b'MSaaapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapp',b'MSapapp',b'MSaapapp',b'MSaaapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaa',b'MSappaa',b'MSaappaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSppap',b'MSappap',b'MSaappap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppa',b'MSapppa',b'MSaapppa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppp',b'MSapppp',b'MSaapppp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaa',b'MSapaaaa',b'MSaapaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaap',b'MSapaaap',b'MSaapaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapa',b'MSapaapa',b'MSaapaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapp',b'MSapaapp',b'MSaapaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapaa',b'MSapapaa',b'MSaapapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapap',b'MSapapap',b'MSaapapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpappa',b'MSapappa',b'MSaapappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpappp',b'MSapappp',b'MSaapappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaaa',b'MSappaaa',b'MSaappaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaap',b'MSappaap',b'MSaappaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppapa',b'MSappapa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppapp',b'MSappapp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppaa',b'MSapppaa',b'MSaapppaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppap',b'MSapppap',b'MSaapppap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppppa',b'MSappppa',b'MSaappppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppppp',b'MSappppp',b'MSaappppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaaa',b'MSapaaaad',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaap',b'MSapaaaav',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaapa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaapp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapaa',b'0.0',b'MSaapaapaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapap',b'0.0',b'MSaapaapap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaappa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaappp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapaaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapaap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapapa',b'0.0',b'MSaapapapa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapapp',b'0.0',b'MSaapapapp'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpappaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpappap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapppa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpapppp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaaaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaaap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaapa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppaapp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppapaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppapap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppappa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppappp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppaaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppaap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppapa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppapp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppppaa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSppppap',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppppa',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpppppp',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaaappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'MSpaapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
