0,1,2,3,4
b'P',b'AB',b'0.0',b'0.0',b'0.0'
b'0.0',b'P1',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'EMS',b'0.0',b'0.0'
b'0.0',b'0.0',b'P2',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'C',b'0.0'
b'0.0',b'0.0',b'0.0',b'P3',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'D'
b'0.0',b'0.0',b'0.0',b'0.0',b'P4'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0'
